time;month;week day;quantity;totalprice
19/01/2011;janeiro;quarta-feira;8078;13440.73
20/01/2011;janeiro;quinta-feira;8054;16354.8399999999
21/01/2011;janeiro;sexta-feira;9266;23577.4200000001
22/01/2011;janeiro;sabado;13569;24413.2968182
23/01/2011;janeiro;domingo;5115;9885.74999999997
24/01/2011;janeiro;segunda-feira;8944;17637.92
25/01/2011;janeiro;terca-feira;12667;24020.6800000001
26/01/2011;janeiro;quarta-feira;8814;16331.8
27/01/2011;janeiro;quinta-feira;9724;18313.4900000001
28/01/2011;janeiro;sexta-feira;14317;15060.78
29/01/2011;janeiro;sabado;13569;24413.2968182
30/01/2011;janeiro;domingo;3431;6615.74999999999
31/01/2011;janeiro;segunda-feira;10407;17581.7
01/02/2011;fevereiro;terca-feira;14374;26034.69
02/02/2011;fevereiro;quarta-feira;8982;19996.05
03/02/2011;fevereiro;quinta-feira;16068;20148.5800000001
04/02/2011;fevereiro;sexta-feira;13039;22619.76
05/02/2011;fevereiro;sabado;9725;17917.83125
06/02/2011;fevereiro;domingo;2048;3457.11
07/02/2011;fevereiro;segunda-feira;8570;23701.1
08/02/2011;fevereiro;terca-feira;8713;19174.93
09/02/2011;fevereiro;quarta-feira;3444;9487.00999999998
10/02/2011;fevereiro;quinta-feira;11227;14222.95
11/02/2011;fevereiro;sexta-feira;9648;20285.64
12/02/2011;fevereiro;sabado;9725;17917.83125
13/02/2011;fevereiro;domingo;2756;5713.62999999999
14/02/2011;fevereiro;segunda-feira;10919;21444.9100000001
15/02/2011;fevereiro;terca-feira;10901;19450.0100000001
16/02/2011;fevereiro;quarta-feira;13249;20870.7200000001
17/02/2011;fevereiro;quinta-feira;13456;24166.7700000002
18/02/2011;fevereiro;sexta-feira;8198;14663.05
19/02/2011;fevereiro;sabado;9725;17917.83125
20/02/2011;fevereiro;domingo;5353;9624.69000000003
21/02/2011;fevereiro;segunda-feira;6962;13125.74
22/02/2011;fevereiro;terca-feira;18962;29286.6500000001
23/02/2011;fevereiro;quarta-feira;12536;24583.3400000001
24/02/2011;fevereiro;quinta-feira;11115;21118.4400000001
25/02/2011;fevereiro;sexta-feira;9703;18926.09
26/02/2011;fevereiro;sabado;9725;17917.83125
27/02/2011;fevereiro;domingo;4582;9003.34999999997
28/02/2011;fevereiro;segunda-feira;8604;18922.74
01/03/2011;marco;terca-feira;8185;15392.06
02/03/2011;marco;quarta-feira;8152;17846.65
03/03/2011;marco;quinta-feira;8834;17802.68
04/03/2011;marco;sexta-feira;12024;16663.77
05/03/2011;marco;sabado;12215;22566.3396296297
06/03/2011;marco;domingo;5049;10005.37
07/03/2011;marco;segunda-feira;13694;31522.9400000002
08/03/2011;marco;terca-feira;13025;22626.8000000002
09/03/2011;marco;quarta-feira;13557;19367.5000000001
10/03/2011;marco;quinta-feira;11249;17793.28
11/03/2011;marco;sexta-feira;9925;20400.57
12/03/2011;marco;sabado;12215;22566.3396296297
13/03/2011;marco;domingo;2564;3804.83
14/03/2011;marco;segunda-feira;10155;18699.08
15/03/2011;marco;terca-feira;7426;16636.81
16/03/2011;marco;quarta-feira;12332;20165.91
17/03/2011;marco;quinta-feira;18440;33042.9600000002
18/03/2011;marco;sexta-feira;12535;25037.15
19/03/2011;marco;sabado;12215;22566.3396296297
20/03/2011;marco;domingo;13307;20640.2400000001
21/03/2011;marco;segunda-feira;10082;16162.3
22/03/2011;marco;terca-feira;14918;28189.5900000002
23/03/2011;marco;quarta-feira;11490;19796.16
24/03/2011;marco;quinta-feira;17402;33792.1900000001
25/03/2011;marco;sexta-feira;10840;24952.15
26/03/2011;marco;sabado;12215;22566.3396296297
27/03/2011;marco;domingo;14621;27945.6400000002
28/03/2011;marco;segunda-feira;20396;51941.2700000001
29/03/2011;marco;terca-feira;18959;28160.9700000001
30/03/2011;marco;quarta-feira;13255;27841.4100000001
31/03/2011;marco;quinta-feira;17377;23060.89
01/04/2011;abril;sexta-feira;12640;21873.15248515
02/04/2011;abril;sabado;5679;6943.15
03/04/2011;abril;domingo;12083;23321.4400000001
04/04/2011;abril;segunda-feira;11008;19933.31
05/04/2011;abril;terca-feira;8869;16406.37
06/04/2011;abril;quarta-feira;8502;15773.18
07/04/2011;abril;quinta-feira;11518;22110.8300000001
08/04/2011;abril;sexta-feira;12640;21873.15248515
09/04/2011;abril;sabado;5442;9437.48999999997
10/04/2011;abril;domingo;11911;19781.65
11/04/2011;abril;segunda-feira;14420;23680.0900000001
12/04/2011;abril;terca-feira;18091;22985.13
13/04/2011;abril;quarta-feira;17186;31325.3100000001
14/04/2011;abril;quinta-feira;11835;26037.061
15/04/2011;abril;sexta-feira;12640;21873.15248515
16/04/2011;abril;sabado;7630;11648.54
17/04/2011;abril;domingo;24857;52584.6499999997
18/04/2011;abril;segunda-feira;12400;20717.4900000002
19/04/2011;abril;terca-feira;17858;27532.67
20/04/2011;abril;quarta-feira;16706;28795.3900000001
21/04/2011;abril;quinta-feira;12640;21873.15248515
22/04/2011;abril;sexta-feira;12640;21873.15248515
23/04/2011;abril;sabado;12640;21873.15248515
24/04/2011;abril;domingo;12640;21873.15248515
25/04/2011;abril;segunda-feira;15744;30014.7100000002
26/04/2011;abril;terca-feira;17887;24046.74
27/04/2011;abril;quarta-feira;12636;20381.67
28/04/2011;abril;quinta-feira;12640;21873.15248515
29/04/2011;abril;sexta-feira;12640;21873.15248515
30/04/2011;abril;sabado;3172;5879.32999999999
01/05/2011;maio;domingo;13315;25914.0324000001
02/05/2011;maio;segunda-feira;11028;32241.8600000001
03/05/2011;maio;terca-feira;15628;24807.0600000001
04/05/2011;maio;quarta-feira;15162;25437.9700000002
05/05/2011;maio;quinta-feira;18194;30941.5600000003
06/05/2011;maio;sexta-feira;13315;25914.0324000001
07/05/2011;maio;sabado;9477;16912.44
08/05/2011;maio;domingo;12128;25903.0000000002
09/05/2011;maio;segunda-feira;17532;44389.7999999999
10/05/2011;maio;terca-feira;16467;28944.9200000002
11/05/2011;maio;quarta-feira;15267;28587.4400000001
12/05/2011;maio;quinta-feira;12413;25550.6300000001
13/05/2011;maio;sexta-feira;13315;25914.0324000001
14/05/2011;maio;sabado;4618;9169.1
15/05/2011;maio;domingo;13463;34279.3
16/05/2011;maio;segunda-feira;17269;39866.7899999999
17/05/2011;maio;terca-feira;17654;31351.5500000001
18/05/2011;maio;quarta-feira;15726;30193.49
19/05/2011;maio;quinta-feira;14281;24158.3700000001
20/05/2011;maio;sexta-feira;13315;25914.0324000001
21/05/2011;maio;sabado;11483;21616.57
22/05/2011;maio;domingo;16226;27122.0700000001
23/05/2011;maio;segunda-feira;15660;36973.4500000001
24/05/2011;maio;terca-feira;12436;20367.7300000001
25/05/2011;maio;quarta-feira;10300;22315.68
26/05/2011;maio;quinta-feira;15872;26595.7800000001
27/05/2011;maio;sexta-feira;13315;25914.0324000001
28/05/2011;maio;sabado;3866;6811.56999999999
29/05/2011;maio;domingo;13315;25914.0324000001
30/05/2011;maio;segunda-feira;10058;18896.9
31/05/2011;maio;terca-feira;7502;14415.7799999999
01/06/2011;junho;quarta-feira;13530;30712.3800000001
02/06/2011;junho;quinta-feira;6872;15026.63
03/06/2011;junho;sexta-feira;11891;11733.55556
04/06/2011;junho;sabado;10412;19511.23
05/06/2011;junho;domingo;8158;15116.13
06/06/2011;junho;segunda-feira;18106;36693.55
07/06/2011;junho;terca-feira;16660;36617.69
08/06/2011;junho;quarta-feira;29076;40405.68
09/06/2011;junho;quinta-feira;7645;54919.9599999999
10/06/2011;junho;sexta-feira;11891;11733.55556
11/06/2011;junho;sabado;8430;11573.68
12/06/2011;junho;domingo;8662;16678.63
13/06/2011;junho;segunda-feira;14624;40474.01
14/06/2011;junho;terca-feira;11226;18842.18
15/06/2011;junho;quarta-feira;18805;30921.5600000001
16/06/2011;junho;quinta-feira;9460;16038.41
17/06/2011;junho;sexta-feira;11891;11733.55556
18/06/2011;junho;sabado;9876;15765.39
19/06/2011;junho;domingo;12063;25727.5900000001
20/06/2011;junho;segunda-feira;12668;21443.9900000001
21/06/2011;junho;terca-feira;11563;16523.51
22/06/2011;junho;quarta-feira;13435;22918.0900000001
23/06/2011;junho;quinta-feira;8447;16199.51
24/06/2011;junho;sexta-feira;11891;11733.55556
25/06/2011;junho;sabado;3314;6276.00999999998
26/06/2011;junho;domingo;9406;15998.2
27/06/2011;junho;segunda-feira;10815;21444.58
28/06/2011;junho;terca-feira;9545;18349.3299999999
29/06/2011;junho;quarta-feira;19925;40916.9700000001
30/06/2011;junho;quinta-feira;6438;10996.82
01/07/2011;julho;sexta-feira;13108;23618.86
02/07/2011;julho;sabado;3117;6032.38999999999
03/07/2011;julho;domingo;12569;37443.2300000001
04/07/2011;julho;segunda-feira;21561;39258.0400000001
05/07/2011;julho;terca-feira;14795;21556.2600000001
06/07/2011;julho;quarta-feira;18843;30453.7200000001
07/07/2011;julho;quinta-feira;10772;23633.3500000001
08/07/2011;julho;sexta-feira;13108;23678.86
09/07/2011;julho;sabado;4255;5993.86999999998
10/07/2011;julho;domingo;13451;20042.1600000001
11/07/2011;julho;segunda-feira;12696;23994.8800000001
12/07/2011;julho;terca-feira;10067;16911.4099999999
13/07/2011;julho;quarta-feira;16744;25941.5000000001
14/07/2011;julho;quinta-feira;6848;12500.2799999999
15/07/2011;julho;sexta-feira;13108;23678.86
16/07/2011;julho;sabado;10677;16463.2700000001
17/07/2011;julho;domingo;10847;31938.6800000002
18/07/2011;julho;segunda-feira;20194;32755.12
19/07/2011;julho;terca-feira;16748;31197.0800000002
20/07/2011;julho;quarta-feira;18285;28897.82
21/07/2011;julho;quinta-feira;9290;18466.77
22/07/2011;julho;sexta-feira;13108;23678.86
23/07/2011;julho;sabado;16628;25394.97
24/07/2011;julho;domingo;14057;23165.3400000001
25/07/2011;julho;segunda-feira;13568;20387.851
26/07/2011;julho;terca-feira;10198;19297.76
27/07/2011;julho;quarta-feira;25845;48220.6900000001
28/07/2011;julho;quinta-feira;10832;17383.56
29/07/2011;julho;sexta-feira;13108;23678.86
30/07/2011;julho;sabado;10830;13668.02
31/07/2011;julho;domingo;10899;19540.18
01/08/2011;agosto;segunda-feira;11870;19988.05
02/08/2011;agosto;terca-feira;15600;26414.0000000002
03/08/2011;agosto;quarta-feira;36526;57149.5500000002
04/08/2011;agosto;quinta-feira;10576;17109.25
05/08/2011;agosto;sexta-feira;13152;23327.25
06/08/2011;agosto;sabado;5126;7471.50999999999
07/08/2011;agosto;domingo;11901;20900.56
08/08/2011;agosto;segunda-feira;8044;15077.75
09/08/2011;agosto;terca-feira;12846;25306.0800000001
10/08/2011;agosto;quarta-feira;23417;50536.3400000001
11/08/2011;agosto;quinta-feira;8687;15678.0599999999
12/08/2011;agosto;sexta-feira;13152;23327.25
13/08/2011;agosto;sabado;3177;5671.92
14/08/2011;agosto;domingo;7223;13110.46
15/08/2011;agosto;segunda-feira;11086;18738.22
16/08/2011;agosto;terca-feira;23942;49742.02
17/08/2011;agosto;quarta-feira;18449;26456.0400000001
18/08/2011;agosto;quinta-feira;8004;12872.03
19/08/2011;agosto;sexta-feira;13152;23327.25
20/08/2011;agosto;sabado;6761;11819.11
21/08/2011;agosto;domingo;14229;26637.56
22/08/2011;agosto;segunda-feira;11560;17798.16
23/08/2011;agosto;terca-feira;27626;46387.68
24/08/2011;agosto;quarta-feira;10999;19570.39
25/08/2011;agosto;quinta-feira;10525;14799.61
26/08/2011;agosto;sexta-feira;13152;23327.25
27/08/2011;agosto;sabado;5974;9558.53999999998
28/08/2011;agosto;domingo;13152;23327.25
29/08/2011;agosto;segunda-feira;10122;31336.5600000001
30/08/2011;agosto;terca-feira;10016;17315.79
31/08/2011;agosto;quarta-feira;22142;29063.32
01/09/2011;setembro;quinta-feira;17007;38378.57
02/09/2011;setembro;sexta-feira;18460;34720.53
03/09/2011;setembro;sabado;7574;13208.02
04/09/2011;setembro;domingo;17259;25903.98
05/09/2011;setembro;segunda-feira;13124;22913.28
06/09/2011;setembro;terca-feira;12878;28108.4800000002
07/09/2011;setembro;quarta-feira;13736;19983.2000000001
08/09/2011;setembro;quinta-feira;13690;23694.72
09/09/2011;setembro;sexta-feira;18460;34720.53
10/09/2011;setembro;sabado;20051;33745.4000000002
11/09/2011;setembro;domingo;17663;29738.3300000001
12/09/2011;setembro;segunda-feira;27554;42108.13
13/09/2011;setembro;terca-feira;12377;21247.5400000001
14/09/2011;setembro;quarta-feira;27600;74116.7200000001
15/09/2011;setembro;quinta-feira;15209;25947.33
16/09/2011;setembro;sexta-feira;18460;34720.53
17/09/2011;setembro;sabado;8994;15745.73
18/09/2011;setembro;domingo;12433;19152.35
19/09/2011;setembro;segunda-feira;42215;106651.45
20/09/2011;setembro;terca-feira;18548;40676.14
21/09/2011;setembro;quarta-feira;26815;48181.1200000001
22/09/2011;setembro;quinta-feira;17190;32701.1300000002
23/09/2011;setembro;sexta-feira;18460;34720.53
24/09/2011;setembro;sabado;18176;28749.4910000001
25/09/2011;setembro;domingo;14200;26877.2010000001
26/09/2011;setembro;segunda-feira;21165;34649.75
27/09/2011;setembro;terca-feira;22188;36808.3000000001
28/09/2011;setembro;quarta-feira;25767;43008.7900000001
29/09/2011;setembro;quinta-feira;18081;35718
30/09/2011;setembro;sexta-feira;18460;34720.53
01/10/2011;outubro;sabado;8385;11634.53
02/10/2011;outubro;domingo;25845;66018.42
03/10/2011;outubro;segunda-feira;25368;47462.2899999999
04/10/2011;outubro;terca-feira;33061;48491.3299999999
05/10/2011;outubro;quarta-feira;32368;55107.2799999998
06/10/2011;outubro;quinta-feira;26316;46980.3499999999
07/10/2011;outubro;sexta-feira;19653;36114.42
08/10/2011;outubro;sabado;7556;12524.4
09/10/2011;outubro;domingo;23435;42416.5500000001
10/10/2011;outubro;segunda-feira;21513;42800.56
11/10/2011;outubro;terca-feira;14553;24838.7100000002
12/10/2011;outubro;quarta-feira;14551;27337.0300000001
13/10/2011;outubro;quinta-feira;14823;26387.6300000001
14/10/2011;outubro;sexta-feira;19653;36114.42
15/10/2011;outubro;sabado;8770;22010.9600000001
16/10/2011;outubro;domingo;19473;36278.8100000001
17/10/2011;outubro;segunda-feira;25669;38375.8100000001
18/10/2011;outubro;terca-feira;15188;28267.6300000001
19/10/2011;outubro;quarta-feira;16393;29202.2300000001
20/10/2011;outubro;quinta-feira;20382;55413.7900000001
21/10/2011;outubro;sexta-feira;19653;36114.42
22/10/2011;outubro;sabado;7073;12339.16
23/10/2011;outubro;domingo;25859;46983.1899999998
24/10/2011;outubro;segunda-feira;24864;37839.52
25/10/2011;outubro;terca-feira;19170;33479.6100000001
26/10/2011;outubro;quarta-feira;25809;34768.1000000002
27/10/2011;outubro;quinta-feira;17358;28223.5000000001
28/10/2011;outubro;sexta-feira;19653;36114.42
29/10/2011;outubro;sabado;17662;30582.1200000001
30/10/2011;outubro;domingo;19653;36114.42
31/10/2011;outubro;segunda-feira;19532;53211.5000000001
01/11/2011;novembro;terca-feira;14984;25133.2900000001
02/11/2011;novembro;quarta-feira;24778;38904.6499999999
03/11/2011;novembro;quinta-feira;32412;59827.5699999999
04/11/2011;novembro;sexta-feira;33028;57801.8499999998
05/11/2011;novembro;sabado;25840;50974.85
06/11/2011;novembro;domingo;18353;33160.7300000002
07/11/2011;novembro;segunda-feira;29599;82770.2000000001
08/11/2011;novembro;terca-feira;25183;55231.2099999999
09/11/2011;novembro;quarta-feira;37103;63783.3099999996
10/11/2011;novembro;quinta-feira;28993;55903.4900000002
11/11/2011;novembro;sexta-feira;23998;46541.1100000001
12/11/2011;novembro;sabado;25840;50974.85
13/11/2011;novembro;domingo;17753;28905.5500000002
14/11/2011;novembro;segunda-feira;44514;108579.94
15/11/2011;novembro;terca-feira;25432;51321.2899999999
16/11/2011;novembro;quarta-feira;26855;55298.7800000002
17/11/2011;novembro;quinta-feira;23480;41740.8900000002
18/11/2011;novembro;sexta-feira;20894;43389.06
19/11/2011;novembro;sabado;25840;50974.85
20/11/2011;novembro;domingo;17868;31565.02
21/11/2011;novembro;segunda-feira;23646;45173.1899999999
22/11/2011;novembro;terca-feira;32656;57906.86
23/11/2011;novembro;quarta-feira;29619;64672.19
24/11/2011;novembro;quinta-feira;22385;42328.65
25/11/2011;novembro;sexta-feira;30216;47126.63
26/11/2011;novembro;sabado;25840;50974.85
27/11/2011;novembro;domingo;10948;19781.1700000001
28/11/2011;novembro;segunda-feira;26929;52649.1400000001
29/11/2011;novembro;terca-feira;27236;65304.0099999997
30/11/2011;novembro;quarta-feira;22989;50546.43
01/12/2011;dezembro;quinta-feira;25529;48641.0699999997
02/12/2011;dezembro;sexta-feira;26154;53657.8499999998
03/12/2011;dezembro;sabado;28215;56641.14
04/12/2011;dezembro;domingo;10832;21636.1300000001
05/12/2011;dezembro;segunda-feira;42913;85452.9900000005
06/12/2011;dezembro;terca-feira;28556;52638.5700000001
07/12/2011;dezembro;quarta-feira;29957;55338.42
08/12/2011;dezembro;quinta-feira;33565;79122.9599999998
